Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA,Expiration,Certification Body,Certification Address,Certification Contact
Thailand,Anurak coffee farm,Micro Lot -001 Khun ya washed process,Mogojubean,,Anurak coffee,1350,"Khun ya village, Chom Thong, Chiang mai.","Panupong Bunrueang , Surachet uttasahamongkol",1,8 kg,Specialty Coffee Institute of Thailand,2020 / 2021,"August 26th, 2025",Surachet Uttasahamongkol,Bourbon,Completed,Washed / Wet,8.0,7.75,7.92,8.0,7.92,7.92,10.0,10.0,10.0,8.17,0.0,85.67,10.7 %,0 full defects,0,Green,1 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Taiwan,部舞咖啡,C12,部舞咖啡,,Taiwan Coffee Laboratory,1200,嘉義/番路鄉,溫春梅,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.25,8.08,7.92,8.0,7.75,7.83,10.0,10.0,10.0,7.83,0.0,85.67,10.2 %,0 full defects,0,greenish,0 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Ethiopia,NERA coffee,5 GD005,NERA Coffee,,Nera Global L.L.C-FZ,2100-2300,Ethiopia,NERA Coffee,830,60 kg,Torch Coffee Company,2024 / 2025,"July 7th, 2025",Gireesh Singh Chowdhury,Ethiopian Heirlooms,Completed,Natural / Dry,8.08,8.08,8.08,7.92,7.67,7.92,10.0,10.0,10.0,7.92,0.0,85.67,9.1 %,0 full defects,0,Brownish,4 full defects,,"July 7th, 2026",Torch Coffee Company,云南省普洱市88龙生路公园1号108栋234室炬点咖啡实验室 T Torch Coffee Lab 88 Long Shen Building 105 Suite 234 Rd  Pu'er Yunnan China,Marty Pollack - +86 18287988435
Taiwan,大鋤花間咖啡生態農場(Dachu Coffee Estate),2025臺南市國產精品咖啡評鑑批次,大鋤花間咖啡生態農場(Dachu Coffee Estate),,Taiwan Coffee Laboratory,700-750,"臺南市東山區 Dongshan Dist., Tainan City","郭雅聰(KUO,YA-TSUNG）",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"July 15th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Venecia,Completed,Natural / Dry,7.92,8.0,8.0,7.92,7.83,7.92,10.0,10.0,10.0,8.08,0.0,85.67,9.1 %,0 full defects,0,YELLOW-GREEN,0 full defects,,"July 15th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Thailand,Phupha Estate,H08+H15,Mogojubean,,Phupha Estate,1430,Chiangmai,Kantima Tadplevthong,1,30 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"August 26th, 2025",Kantima Tadplevthong,mix arabica,Completed,Pulped natural / honey,8.0,7.92,8.0,7.92,7.92,8.0,10.0,10.0,10.0,7.83,0.0,85.58,11.2 %,0 full defects,0,ํYellow-Green,0 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Taiwan,愛姬咖啡莊園Aiji Coffee Estate,2025花蓮縣第九屆精品咖啡評鑑批次,愛姬咖啡莊園Aiji Coffee Estate,,Taiwan Coffee Laboratory,150,"Shoufeng Township, Hualien County","劉孟宗LIOU,MENG-ZONG",1,6 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2025,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Pulped natural / honey,7.92,8.0,7.92,8.0,7.83,7.92,10.0,10.0,10.0,8.0,0.0,85.58,11.7 %,0 full defects,0,GREENISH,0 full defects,,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,富咖有機農場,C108,富咖有機農場,,Taiwan Coffee Laboratory,1200,"嘉義梅山, Meishan, Chiayi",楊仙美,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 18th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Pulped natural / honey,8.08,8.08,7.92,7.92,7.83,7.83,10.0,10.0,10.0,7.92,0.0,85.58,11 %,0 full defects,0,Blue-Green,0 full defects,,"September 18th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Thailand,Coffee De Hmong,2025012,Coffee De Hmong,,Coffee De Hmong,1500,Manipruek Nan,Napaporn Kamnoedmongkhon,1,8 kg,SOCOF Lab,2024 / 2025,"October 2nd, 2025",Napaporn Kamnoedmongkhon,Catimor,Completed,Natural / Dry,8.08,8.17,7.92,7.92,7.83,7.58,10.0,10.0,10.0,8.0,0.0,85.5,10.1 %,0 full defects,0,Brownish,0 full defects,,"October 2nd, 2026",SOCOF Lab,"(Ministry of Roasters)199 Chang Moi , Mueng Chiang Mai, 53000 Thailand",Anuwat Kobnampetch - whatsapp +66 925524446
Taiwan,十萬咖啡	(Shin Wan café),2025臺南市國產精品咖啡評鑑批次,十萬咖啡	(Shin Wan café),,Taiwan Coffee Laboratory,700,"臺南市東山區 Dongshan Dist., Tainan City","陳天財（CHEN,TIAN-CAI）",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"July 15th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,8.08,8.0,7.92,7.83,7.83,7.83,10.0,10.0,10.0,7.92,0.0,85.42,9.7 %,0 full defects,0,GREENISH,0 full defects,,"July 15th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Ethiopia,NERA Coffee,NERA-ETH001,NERA Coffee,,Nera Global L.L.C-FZ,2100-2300,Ethiopia,NERA Coffee,302,60 kg,Torch Coffee Company,2024 / 2025,"July 7th, 2025",Gireesh Singh Chowdhury,Ethiopian Heirlooms,Completed,Natural / Dry,7.92,8.0,7.92,7.75,7.92,8.0,10.0,10.0,10.0,7.92,0.0,85.42,9.1 %,0 full defects,0,Brownish,4 full defects,,"July 7th, 2026",Torch Coffee Company,云南省普洱市88龙生路公园1号108栋234室炬点咖啡实验室 T Torch Coffee Lab 88 Long Shen Building 105 Suite 234 Rd  Pu'er Yunnan China,Marty Pollack - +86 18287988435
Taiwan,大鋤花間咖啡生態農場(Dachu Coffee Estate),2025臺南市國產精品咖啡評鑑批次,大鋤花間咖啡生態農場(Dachu Coffee Estate),,Taiwan Coffee Laboratory,700-750,"臺南市東山區 Dongshan Dist., Tainan City","郭雅聰(KUO,YA-TSUNG）",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"July 15th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Purpurascens,Completed,Natural / Dry,7.92,8.0,7.75,8.0,7.92,7.92,10.0,10.0,10.0,7.92,0.0,85.42,9.5 %,0 full defects,0,YELLOW-GREEN,0 full defects,,"July 15th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,大鋤花間咖啡生態農場(Dachu Coffee Estate),2025臺南市國產精品咖啡評鑑批次,大鋤花間咖啡生態農場(Dachu Coffee Estate),,Taiwan Coffee Laboratory,700-750,"臺南市東山區 Dongshan Dist., Tainan City","郭雅聰(KUO,YA-TSUNG）",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"July 15th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Geisha+Venecia+Yallow Bourbon+ Purpurascens,Completed,Natural / Dry,8.0,8.17,7.92,7.83,7.67,7.83,10.0,10.0,10.0,7.92,0.0,85.33,9.3 %,0 full defects,1,Yellowish,0 full defects,,"July 15th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,一紫紅咖啡,C02,一紫紅咖啡,,Taiwan Coffee Laboratory,1200,嘉義/阿里山鄉,莊美雲,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Washed / Wet,8.0,8.0,7.92,7.92,7.75,7.83,10.0,10.0,10.0,7.92,0.0,85.33,9.4 %,0 full defects,0,Green,0 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,金蓉咖啡莊園（Jinrong Coffee Estat）,2025臺南市國產精品咖啡評鑑批次,金蓉咖啡莊園（Jinrong Coffee Estat）,,Taiwan Coffee Laboratory,680,"臺南市東山區 Dongshan Dist., Tainan City","黃美蓉(Huang,Mei-Jung )",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"July 15th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,7.92,8.08,7.92,7.92,7.92,7.83,10.0,10.0,10.0,7.75,0.0,85.33,9.2 %,0 full defects,0,GREENISH,0 full defects,,"July 15th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,祖嵐咖啡莊園,533 藝妓Gesha,益豐機械咖啡豆去皮脫殼機剝殼機兩用設備 100型,,祖嵐咖啡莊園,500,復興區義盛里大利幹部落農園,陳曉芬,1,10 kg,Blossom Valley International宸嶧國際,2024 / 2025,"March 19th, 2025",陳曉芬,Gesha,Completed,Natural / Dry,8.17,8.08,7.75,7.75,7.75,7.83,10.0,10.0,10.0,8.0,0.0,85.33,9.5 %,3 full defects,0,Green,1 full defects,,"March 19th, 2026",Blossom Valley International宸嶧國際,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen陳嘉峻 - +886423022323
Vietnam,8Ro Company,A540,8Ro Company,,8RoCompany,1400,"Quảng Tín, Đăk Rlấp, Đắk Nông",Đinh Tiên Bảo San,5000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Đinh Tiên Bảo San,Catimor,Completed,Pulped natural / honey,7.92,7.92,7.92,7.92,7.83,7.92,10.0,10.0,10.0,7.92,0.0,85.33,11 %,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Costa Rica,"Cafetalera Tirra, S.A - Hacienda Candelaria",17,"Cafetalera Tirra, S.A",,"Cafetalera Tirra, S.A",1150,Palmares - Alajuela,"Cafetalera Tirra, S.A",1,1 kg,Specialty Coffee Association of Costa Rica,2024 / 2025,"February 20th, 2025",Laurence Aeberhard,Caturra,Completed,Washed / Wet,7.92,7.92,7.83,7.92,8.0,7.92,10.0,10.0,10.0,7.83,0.0,85.33,11.5 %,0 full defects,2,Blue-Green,1 full defects,,"February 20th, 2026",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685
Kenya,KAMUNDU ESTATE,SAS: 7417 AB TOP,Sasini Coffee Mill,,Sasini Plc,1800-2100,MT KENYA,SASINI PLC - KAMUNDU ESTATE,132,60 kg,Kenya Coffee Traders Association,2024 / 2025,"March 18th, 2025",Eric Gatheca Gitau,SL28,Completed,Washed / Wet,8.08,7.92,7.67,7.83,8.0,7.92,10.0,10.0,10.0,7.92,0.0,85.33,10.9 %,0 full defects,0,Green,5 full defects,,"March 18th, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
Vietnam,Công ty TNHH MTV Rẫy Rừng,A894,Công ty TNHH MTV Rẫy Rừng,,Ray Rung Limited Company,1600,"Thôn Đắk Bờ Rồ, Xã Đắk Tăng, Huyện Kon Plông, Tỉnh Kon Tum",Bùi Lê Băng,300,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Thang Ho Hoang Minh,Typica,Completed,Natural / Dry,8.17,7.83,7.75,7.92,7.83,7.83,10.0,10.0,10.0,8.0,0.0,85.33,11 %,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Guatemala,El Carmen Metzabal,11/63/768,Beneficio Seco (Patios),11/63/768,Asociación Nacional del Cafe,4500-5000,Atitlán,"San Lázaro, S.A.",250,69 kg,Asociacion Nacional Del Café,2024 / 2025,"May 19th, 2025",Evelin Isabel Hernández Paxtor,Catuai,Completed,Washed / Wet,7.75,8.0,7.83,8.0,7.92,7.92,10.0,10.0,10.0,7.83,0.0,85.25,11 %,0 full defects,0,Green,2 full defects,,"May 19th, 2026",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Byron Castillo - +502 47018080
Taiwan,泥妲咖啡Nita Coffee Manor,2025花蓮縣第九屆精品咖啡評鑑批次,泥妲咖啡Nita Coffee Manor,,Taiwan Coffee Laboratory,600,"Xiulin Township, Hualien County","戴豐秋DAI,FONG-CIOU",1,6 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2025,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Washed / Wet,7.92,8.0,7.83,7.92,7.75,7.92,10.0,10.0,10.0,7.92,0.0,85.25,11.6 %,0 full defects,0,Green,0 full defects,,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Vietnam,Intenso Coffee Roasters,A650,Intenso Coffee Roasters,,cong ty tnhh ca phe sach intenso,1550,"Trạm Hành, Cầu Đất, Lâm Đồng",Tạ Tuấn Anh,200,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Ta tuan anh,"Moka, Typica",Completed,Natural / Dry,8.08,8.0,7.83,7.83,7.75,7.83,10.0,10.0,10.0,7.92,0.0,85.25,11 %,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Vietnam,8Ro Company,A304,8Ro Company,,8RoCompany,1400,"Quảng Tín, Đăk Rlấp, Đắk Nông",Đinh Tiên Bảo San,5000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Đinh Tiên Bảo San,Catimor,Completed,Washed / Wet,8.08,8.0,7.83,7.92,7.75,7.83,10.0,10.0,10.0,7.83,0.0,85.25,11 %,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Cambodia,PIDA COFFEE FARM,AR1,PIDA COFFEE FARM,,Babros Coffee Works,700,Mondulkiri,PIDA COFFEE FARM,3,30 kg,STONE VILLAGE LAB VIETNAM,2024 / 2025,"March 24th, 2025",BABROS COFFEE WORKS,Catimor,Completed,Aerobic natural,7.92,8.0,7.58,8.17,7.75,7.83,10.0,10.0,10.0,7.92,0.0,85.17,12 %,0 full defects,1,Green,0 full defects,,"March 24th, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
Taiwan,九一七農場917 Farm,2025花蓮縣第九屆精品咖啡評鑑批次,九一七農場917 Farm,,Taiwan Coffee Laboratory,300,"Yuli Township, Hualien County","黃怡瑄HUANG,YI-SYUAN",1,6 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Catimor,Completed,Natural / Dry,7.92,8.0,7.83,7.83,7.75,7.83,10.0,10.0,10.0,8.0,0.0,85.17,12.2 %,0 full defects,0,YELLOWISH,1 full defects,,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Ethiopia,Chelba,AMG/NYCG1/2/25,Chelba washing station,010/0398/0486,Taiwan Coffee Laboratory,1800-2200,SNNP Gedeo Zone Ethiopia,Chelba washing station,840,60 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Hairloom,Completed,Natural / Dry,7.92,8.0,7.75,7.92,7.92,7.83,10.0,10.0,10.0,7.83,0.0,85.17,10.2 %,0 full defects,0,greenish,2 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Kenya,TINGANGA ESTATE,SAS: 7418 AB FAQ,Sasini Coffee Mill,,Sasini Plc,1800-2150,MT KENYA,SASINI PLC - TINGANGA ESTATE,150,60 kg,Kenya Coffee Traders Association,2024 / 2025,"March 18th, 2025",Eric Gatheca Gitau,SL34,Completed,Washed / Wet,8.0,8.0,7.58,7.83,7.92,7.92,10.0,10.0,10.0,7.92,0.0,85.17,11.1 %,0 full defects,0,Green,5 full defects,,"March 18th, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
Vietnam,ARA FARM VƯỜN HOÀNG LUẬN,TT02,dry mill,,Total feeling coffee,550,QUANG TRI,ARA FARM VƯỜN HOÀNG LUẬN,1,2 kg,STONE VILLAGE LAB VIETNAM,2024 / 2025,"June 30th, 2025",NGUYEN VAN HOA,Catimor,Completed,Natural / Dry,8.08,7.83,7.75,7.83,7.83,7.92,10.0,10.0,10.0,7.83,0.0,85.08,11.3 %,0 full defects,0,Green,1 full defects,,"June 30th, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
Kenya,KAMUNDU ESTATE,SAS: 7429 AA TOP,Sasini Coffee Mill,,Sasini Plc,1800-2150,MT KENYA,SASINI PLC - KAMUNDU ESTATE,88,60 kg,Kenya Coffee Traders Association,2024 / 2025,"March 25th, 2025",Eric Gatheca Gitau,SL28,Completed,Washed / Wet,7.83,7.75,7.83,8.08,7.83,7.92,10.0,10.0,10.0,7.83,0.0,85.08,11 %,0 full defects,0,Green,1 full defects,,"March 25th, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
"Tanzania, United Republic Of",IYENGA,S75511/P06515,CITY COFFEE LTD,,VOLCAFE/TaylorWinch Tanzania Ltd,1624,Mbeya,IYENGA AMCOS,600,30 kg,Kenya Coffee Traders Association,2025 / 2026,"September 4th, 2025",Balam Hinyula,Bourbon,Completed,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,7.92,0.0,85.0,11.2 %,0 full defects,0,Green,5 full defects,,"September 4th, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
Thailand,weerasak family,14,Doichang and Pangkhong,,"Neo Java Co., Ltd.",1300,เชียงราย,Weerasak Sathitsapsin,10,100 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"September 23rd, 2025",ShuChan (Jennifer) Lin,Catimor,Completed,Natural / Dry,8.0,8.0,7.83,7.83,7.58,7.83,10.0,10.0,10.0,7.92,0.0,85.0,10.6 %,0 full defects,0,Pale Greenish,4 full defects,,"September 23rd, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Kenya,VARIOUS,CN 4124250506 - K33182,KIRINYAGA MILL,37/00045/250506,C.DORMAN SEZ LTD,1600-1800,KIRINYAGA,VARIOUS,600,30 kg,Kenya Coffee Traders Association,2024 / 2025,"February 25th, 2025",Gilbert Maina,SL28,Completed,Washed / Wet,8.08,7.83,7.75,7.67,8.0,7.83,10.0,10.0,10.0,7.83,0.0,85.0,11 %,0 full defects,0,Green,2 full defects,,"February 25th, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
Guatemala,Finca Alta Luz,11/63/889,Beneficio Seco (Patios),11/63/889,Asociación Nacional del Cafe,1300-1400,Huehuetenango,María de los Angeles Perez,300,30 kg,Asociacion Nacional Del Café,2024 / 2025,"May 19th, 2025",Evelin Isabel Hernández Paxtor,Bourbon,Completed,Washed / Wet,7.75,8.0,7.67,8.0,7.83,7.92,10.0,10.0,10.0,7.83,0.0,85.0,11.1 %,0 full defects,1,Green,2 full defects,,"May 19th, 2026",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Byron Castillo - +502 47018080
Colombia,VARIOS,3-01-17557,"ALMACAFE ARMENIA, QUINDIO",3-01-17557,Federación de cafeteros de Colombia,1100 a 1800,QUINDIO,VARIOS,375,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024 / 2025,"September 25th, 2025",Camilo Mosquera,Other,Completed,Washed / Wet,8.08,7.83,7.67,7.92,7.92,7.75,10.0,10.0,10.0,7.83,0.0,85.0,10.5 %,0 full defects,0,Green,2 full defects,,"September 25th, 2026",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
Thailand,Yai-Orn,W07,mogojubean,,Yai-orn,1200,Chiangmai,Buachum Jakkaew,4,25 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"August 26th, 2025",Buachum Jakkaew,Mix typica bourbon catuai Caturra,Completed,Washed / Wet,7.92,7.92,7.83,7.83,7.75,7.83,10.0,10.0,10.0,7.92,0.0,85.0,12.6 %,0 full defects,0,Green,0 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Thailand,Leepee coffee,500,แปรรูป,,เกษตรกร,1400,ภาคเหนือ,dry,20,15 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"August 26th, 2025",อาโช พิสัยเลิศ,Catimor,Completed,Natural / Dry,8.0,8.0,7.75,7.75,8.0,7.67,10.0,10.0,10.0,7.83,0.0,85.0,13.9 %,0 full defects,0,Yellowish,0 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Thailand,SOFT Coffee,Natural Carbonic,Mogojubean,,SOFT Coffee,1200-1300,Omkoi,Wish Junprasert,3,25 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"August 26th, 2025",Wish Junprasert,Catimor,Completed,Natural / Dry,7.83,7.92,7.83,7.83,7.83,7.83,10.0,10.0,10.0,7.83,0.0,84.92,11.6 %,0 full defects,0,Greenish,0 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Kenya,KAMUNDU ESTATE,SAS: 7416 AA TOP,Sasini Coffee Mill,,Sasini (K) Limited,1800-2100,MT KENYA,SASINI PLC - KAMUNDU ESTATE,65,60 kg,Kenya Coffee Traders Association,2024 / 2025,"March 18th, 2025",Eric Gatheca Gitau,SL28,Completed,Washed / Wet,8.0,7.83,7.75,7.75,7.75,8.0,10.0,10.0,10.0,7.83,0.0,84.92,10.8 %,0 full defects,0,Greenish,5 full defects,,"March 18th, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
Taiwan,卓武山咖啡,C18,卓武山咖啡,,Taiwan Coffee Laboratory,1200,嘉義/阿里山鄉,許峻榮,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,7.75,8.0,7.92,7.92,7.67,7.92,10.0,10.0,10.0,7.75,0.0,84.92,9.3 %,0 full defects,0,Green,0 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,村長天池咖啡(Zhang Chang Tian Chi Coffee Estate),2025臺南市國產精品咖啡評鑑批次,村長天池咖啡(Zhang Chang Tian Chi Coffee Estate),,Taiwan Coffee Laboratory,780,"臺南市東山區 Dongshan Dist., Tainan City","陳水連(Chen,Shuei-Lian)",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"July 15th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Washed / Wet,7.75,7.83,7.83,7.92,7.58,7.92,10.0,10.0,10.0,8.08,0.0,84.92,10.8 %,0 full defects,0,GREENISH,0 full defects,,"July 15th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
